subject_id,block_name,trial_location,trial_similarity,trial_corr_resp,resp_corr,resp_rt,resp_value,mean_rt,sd_rt,exclude_thresh,exclude_trial,exclude_part
118,nb2TestingBlock,9,0,left,1,0.6817538,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,4,2,right,1,1.4974161,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,10,1,right,0,0.55314700000000006,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,6,2,right,0,0.9672685,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,6,4,right,0,1.6170605,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,7,1,right,1,0.9206393,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,6,0,left,1,0.8896212,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,5,2,right,1,1.5537644,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,10,4,right,1,0.8728724,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,2,3,right,1,1.2703397,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,13,3,right,1,1.0164622,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,3,1,right,0,1.0490206,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,1,3,right,1,1.0180351,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,3,0,left,1,0.776694,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,1,0,left,0,1.0586981,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,4,1,right,0,0.7607101,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,1,0,left,1,1.1457434,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,4,0,left,1,0.808924,left,0.98953403,0.3075140757638344,9,0,0
